title,description,image_url,file_name,is_published
Backyard%20Camping%20Tent,"Tents, flashlights, and sleeping bags set up under the stars in the backyard.",https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/backyard_camping_tent_coloring.png,backyard_camping_tent_coloring.png,true
Backyard%20Water%20Balloon%20Fight,Children playfully tossing water balloons in a sunny backyard setting.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/backyard_water_balloon_fight_coloring.png,backyard_water_balloon_fight_coloring.png,true
Beach%20Day%20Adventure,"Kids building sandcastles, splashing in the waves, and collecting seashells at the beach.",https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/beach_day_adventure_coloring.png,beach_day_adventure_coloring.png,true
Biking%20Around%20The%20Neighborhood,A group of kids riding their bikes with streamers and helmets through their street.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/biking_around_the_neighborhood_coloring.png,biking_around_the_neighborhood_coloring.png,true
Bubble%20Blowing%20Contest,Big and small soap bubbles floating around as kids compete for the biggest bubble.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/bubble_blowing_contest_coloring.png,bubble_blowing_contest_coloring.png,true
Butterfly%20Garden%20Visit,Children walking through a butterfly garden surrounded by fluttering wings.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/butterfly_garden_visit_coloring.png,butterfly_garden_visit_coloring.png,true
Camping%20Under%20The%20Stars,Children roasting marshmallows and telling stories by the campfire in a forest.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/camping_under_the_stars_coloring.png,camping_under_the_stars_coloring.png,true
Carnival%20Cotton%20Candy,A fun carnival scene with kids holding giant sticks of colorful cotton candy.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/carnival_cotton_candy_coloring.png,carnival_cotton_candy_coloring.png,true
Catch%20And%20Release%20Fishing,Children with fishing rods and smiling faces at the edge of a quiet lake.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/catch_and_release_fishing_coloring.png,catch_and_release_fishing_coloring.png,true
Catching%20Fireflies,Kids chasing glowing fireflies with jars at dusk in a grassy field.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/catching_fireflies_coloring.png,catching_fireflies_coloring.png,true
Diy%20Lemonade%20Pops,A kitchen scene with kids pouring juice into molds to freeze homemade popsicles.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/diy_lemonade_pops_coloring.png,diy_lemonade_pops_coloring.png,true
Field%20Day%20Races,"Sack races, three-legged races, and water cup balancing challenges in a grassy field.",https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/field_day_races_coloring.png,field_day_races_coloring.png,true
Flying%20Kites,A windy summer day with kids flying colorful kites in an open field.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/flying_kites_coloring.png,flying_kites_coloring.png,true
Fruit%20Picking%20At%20The%20Orchard,"Children picking apples, strawberries, or blueberries in an orchard with baskets.",https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/fruit_picking_at_the_orchard_coloring.png,fruit_picking_at_the_orchard_coloring.png,true
Gardening%20With%20Grandma,Children planting sunflowers and watering veggies in a backyard garden.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/gardening_with_grandma_coloring.png,gardening_with_grandma_coloring.png,true
Hopscotch%20Tournament,Chalk-drawn hopscotch squares and kids leaping with excitement.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/hopscotch_tournament_coloring.png,hopscotch_tournament_coloring.png,true
Hot%20Air%20Balloon%20Watch,"Kids lying in the grass, pointing at hot air balloons floating in the sky.",https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/hot_air_balloon_watch_coloring.png,hot_air_balloon_watch_coloring.png,true
Ice%20Cream%20Truck%20Visit,A neighborhood ice cream truck surrounded by excited kids picking their favorite flavors.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/ice_cream_truck_visit_coloring.png,ice_cream_truck_visit_coloring.png,true
Kiddie%20Car%20Wash,Kids helping wash bikes and scooters with soap and sponges on the driveway.,https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/kiddie_car_wash_coloring.png,kiddie_car_wash_coloring.png,true
Lemonade%20Stand%20Hustle,"Two kids running a lemonade stand with signs, cups, and smiling customers.",https://puswptfnpjdigfsatylx.supabase.co/storage/v1/object/public/coloring-pages/lemonade_stand_hustle_coloring.png,lemonade_stand_hustle_coloring.png,true
